name,phd_conclusion_year
Mariano Michelon,2017
Williame Farias Ribeiro,2012
Gilberto Januario,2017
Agnaldo José Lopes,2007
Antenora Maria da Mata Siqueira,2009
André Alves Portela Santos,2010
Anselmo Cardoso de Paiva,2001
Ana Maria Jansen Franken,1991
Roberta Lane de Oliveira Silva,2014
Niels Olsen Saraiva Câmara,2000
Ângelo Márcio Leite Denadai,2005
Camila da Silva,2009
Francisco César Alves Ferraz,2003
Andréia Guerini,2001
Alexandre de Barros Falcão Ferraz,2004
Alessandra Santana Soares e Barros,2005
André Luiz Hemerly Costa,2000
Denise Maria Guimarães Freire,1996
Wilson Francisco Britto Wasielesky Junior,2000
Beate Saegesser Santos,2002
Hilário Alencar da Silva,1988
Érica Ferreira de Souza,2014
Andrés Armando Mendiburu Zevallos,2016
Gabriel Heerdt,2015
Bruno Ricardo de Carvalho,2017
Alexandre Ferreira Marques,2007
Waldiceu Aparecido Verri Junior,2006
Adriana de Abreu Corrêa,2010
Breno Valentim Nogueira,2008
Anielle Cristhine de Medeiros Takahashi,2010
Alcyr Alves de Oliveira,2003
Aline Souza de Paula,2010
Luciana Regina Ferreira Pereira da Mata,2013
Fábio Pio Dornas,2016
Angelo Alves Carrara,1997
Antonio Lopes Gama,1998
Roberto Imbuzeiro Moraes Felinto de Oliveira,2004
Mateus Luz Levandowski,2018
Simone Wajnman,1995
Adonney Allan de Oliveira Veras,2017
Silvia Eloiza Priore,1998
João Márcio Mendes Pereira,2009
Alessandra Choqueta de Toledo Arruda,2009
Mauricio Morishi Ogusku,2012
Elizeu Clementino de Souza,2004
André Carraro,2003
Armando Juan Navarro Vázquez,2001
André Dias de Azevedo Neto,2005
Caio Marcio Paranhos da Silva,2007
Bruno Vieira Bertoncini,2010
André Filipe Zago de Azevedo,2001
Ana Suelly Arruda Câmara Cabral,1995
Abner de Siervo,2002
Rosmari Terezinha Cazarotto,2011
Claudinei Fonseca Souza,2002
Vander Valduga,2011
Hans Raj Gheyi,1974
Admilson Teixeira Franco,1999
Paulo Cesar Oliveira Vergne de Abreu,1992
Angel Roberto Barchuk,2004
Monica Alonso Cotta,1991
Angelo Pallini,1998
Marta Margarete Cestari,1996
Josefina Bressan,1992
Kedma da Silva Matos,2014
Frederic Jean Georges Frezard,1990
Lourdes Maria Bragagnolo Frison,2007
Alcides Buss,2007
Alex Rafacho,2009
Fernando Lázaro Freire Junior,1985
Eduardo Carvalho Lira,2011
Bruno Duarte Gomes,2009
José Rubens Morato Leite,1999
Augusta Pelinski Raiher,2010
Joaquim de Araújo Nóbrega,1992
Fabio Barboza Passos,1994
Ana Cristina Petry,2005
Flávio dos Santos Gomes,1997
Mariana Lima Boroni Martins,2014
Bojan Marinkovic,2003
Arcilan Trevenzoli Assireu,2003
Eliane Ignotti,2004
Daniella Castanheira Bartholomeu,2002
Alexandre Meneghello Fuentefria,2007
Bruno Zatt,2012
Carla Galvão Spinillo,2000
Jackson Roberto Guedes da Silva Almeida,2006
Flávio Augusto Ziegelmann,2002
Silvia Eloiza Priore,1998
Anderson Schwingel Ribeiro,2003
Adriana Flach,2005
André Zugman,2016
Hernandes Faustino de Carvalho,1993
Andreza Fabro de Bem,2007
Aldo Ângelo Moreira Lima,1989
Carlos William de Araujo Paschoal,2001
Mariluce Paes de Souza,2004
Narciso Larangeira Telles da Silva,2007
Luiz Cláudio da Costa,1999
Lucas Feitosa de Albuquerque Lima Babadopulos,2017
Antonio Celso Dantas Antonino,1992
Renata Padilha de Souza,2014
Audrey Borghi Silva,2004
Eduardo Granado Monteiro da Silva,2000
Alam Gustavo Trovó,2009
Alyne Toscano Martins,2017
Rafael Dariolli,2015
Adriana da Fonte Porto Carreiro,2002
Igor Luchini Baptista,2012
Antonio Galina Filho,1994
Masato Kobiyama,1994
Aldo Merotto Junior,2006
Riselane de Lucena Alcântara Bruno,1995
Carlos Cesar Bof Bufon,2006
Kamila Lockmann,2013
Claudio Roberto Machado Benite,2011
Carla Brenda Bonifazi,2004
Fábio de Oliveira Pitta,2005
Carla Luiza da Silva Ávila,2007
André Passaglia Schuch,2009
Marcelo Giordan Santos,1997
Alexandre José Cichoski,2004
Francisco Thiago Rocha Vasconcelos,2014
Anderson Rodrigues Lima Caires,2004
Aylton José Alves,2011
Carla Eiras,2004
Alsones Balestrin,2005
Anderson Luiz Ribeiro de Paiva,2009
André Luís Faria e Silva,2008
Laercio Ricardo Sartor,2012
Regina Zilberman,1976
Adriana Nunes Correia,1998
Antonio Otavio de Toledo Patrocinio,2009
Adriano do Nascimento Simoes,2008
Riselane de Lucena Alcântara Bruno,1995
Alexandre Street de Aguiar,2008
Isabel Cristina Sobreira Machado,1990
Camila Fernandes Corrêa,2015
Octavio Luiz Franco,2001
Artur José Santos Mascarenhas,2004
André Luiz Paulilo,2007
Paulo Gabriel Hilu da Rocha Pinto,2002
Anielson Barbosa da Silva,2005
Anne Magaly de Paula Canuto,2001
Aderbal Silva Aguiar Junior,2011
Antonio Angelo Martins da Fonseca,2003
Adriane Xavier Arteche,2006
Liliany Souza de Brito Amaral,2015
Renan Pereira Monteiro,2017
Aderval Severino Luna,2000
Berenice Alves de Melo Bento,2003
Carlos Alberto Olarte Vega,2009
Alexandre Christofaro Silva,1997
Josivan Gomes de Lima,2016
Carlile Campos Lavor,2001
Ana Carolina Amorim Orrico,2005
Roberto Carvalheiro,2004
Ana Lucia Figueiredo Porto,1998
Ana Paula Badan Ribeiro,2009
Arnaldo César Pereira,2003
Bernardo Petriz de Assis,2014
Ahyas Siss,2001
Francisco Ângelo Coutinho,2005
Suely Ferreira Deslandes,2000
Aline de Souza Pagnussat,2009
Daniel Pasquini,2004
Carlos Alberto Martinez Huitle,2005
Fabio Barboza Passos,1994
Carlos Magluta,1993
Miriam Mabel Selani,2015
Alberto Ferreira da Rocha Junior,2002
Teresa Bernarda Ludermir,1990
Yuan Jinyun,1993
Rafaela Schaefer,2017
Aguinaldo Silva,2010
Leonardo Affonso de Miranda Pereira,1998
Carla Luiza da Silva Ávila,2007
Katia Regina Garcia Punhagui,2014
Marcelo Giordan Santos,1997
Carlos Roberto de Souza Filho,1995
André Ricardo Fajardo,2013
Carlos Eduardo Ambrósio,2004
Belmira Lara da Silveira Andrade da Costa,1997
Armando de Menezes Neto,2012
Ana Cristina Garcia Dias,2003
Marcos Paz Saraiva Câmara,1999
Alisson Carraro Borges,2007
Arnaldo da Costa Faro Junior,1984
Danilo Akio de Sousa Esashika,2018
Andréa Luisa Zhouri Laschefski,1998
Patrícia Severo do Nascimento,2012
Vanessa Carla Furtado Mosqueira,2000
André Luís Condino Fujarra,2002
Bruno Zatt,2012
Guilherme Baldo,2012
Roberta Andrejew Caetano,
Jayr de Amorim Filho,1994
Jader dos Santos Cruz,1994
Alexandre Braga da Rocha,2001
Niklaus Ursus Wetter,1993
Beatriz Rosana Gonçalves de Oliveira Toso,2011
Olinto Liparini Pereira,2006
Roberta Andrejew Caetano,
Ana Luisa Brandão de Carvalho Lira,2009
Mário André Leocadio Miguel,2012
Priscila Ribas de Farias Costa,2013
Martha Viviana Torres Cely,2014
Aldri Luiz dos Santos,2004
Antonio Oseas de Carvalho Filho,2016
Gabriela Cantarelli Lopes,2012
Rafael Anzanello,2012
Alex Sandro Campos Maia,2005
André Luiz Martins Lemos,1995
Heizir Ferreira de Castro,1985
Marina Correa Cortes,2012
Rodolfo Teixeira de Souza,2012
Marcus Granato,2003
Carlos Manuel Romero Luna,2013
Ilana Nogueira Bezerra,2012
Priscila Vanessa Zabala Capriles Goliatt,2011
Adunias dos Santos Teixeira,2000
Carla Aparecida Cielo,2001
Solange Muglia Wechsler,1981
Roger Walz,2000
Nelo Eidy Zanchi,2011
Ivana Bentes Oliveira,1997
Abadia dos Reis Nascimento,2009
Jose Eduardo Krieger,1988
Ana Cláudia Franco,2001
Barbara Cristina Euzebio Pereira Dias de Oliveira,2004
Teresa Bernarda Ludermir,1990
Tiago Antônio de Oliveira Mendes,2015
Cláudia Lúcia de Moraes Forjaz,1998
Aline do Monte Gurgel,2017
Thiago de Oliveira Carnevali,2013
Ana Paula Dalla Corte,2010
Andrea de Souza Monteiro,2009
Benedito Gonçalves Eugênio,2009
Enrique Vetterli Nuesch,2016
Amauri Bogo,2001
Eduardo Augusto Caldas Batista,2002
Aroldo Leal de Andrade,2010
Carlos Emilio Levy,1986
Roberto Nardi,1989
Sergio Santos de Azevedo,2006
Patricia Peterle Figueiredo Santurbano,2006
Mônica Corrêa Ledur,1997
Ana Maria Benko Iseppon,1992
Carlos Augusto Rosa,1993
Marcia Edilaine Lopes Consolaro,2005
Patricia Peterle Figueiredo Santurbano,2006
Lucy Seldin,1987
Ricardo Luiz Cavalcanti de Albuquerque Junior,2002
Pedro Dal Lago,2001
